영상명,조건,프레임 범위,ID Switch 수,실패 수,관찰 메모
04.mp4,두 객체 겹침,25–224,3,7,"O02; GT 1,2; 매장에서 나온 사람이 기다리던 사람과 합류하며 몸이 겹침; 50% 가림 경계는 bbox 후보와 육안 근사, 보수적 구간 제외; 제외 후보 [[78, 96]]; 누락 GT1 151–168; GT1 184–196; GT1 209–222; GT2 26–77; GT2 97–122; GT2 128–167; GT2 196–224; ID 변경 GT2 ID8→14 175–179; GT2 ID14→10 184–188; GT2 ID10→7 189–193"
05.mp4,두 객체 겹침,25–224,0,5,"O03; GT 1,2; 두 사람이 만나 방향을 바꾸며 몸이 일부 겹침; 50% 가림 경계는 bbox 후보와 육안 근사, 보수적 구간 제외; 제외 후보 [[99, 137]]; 누락 GT1 25–98; GT1 185–209; GT2 51–98; GT2 148–158; GT2 204–224; ID 변경 없음"
06.mp4,두 객체 겹침,25–224,1,4,"O04; GT 6,7; 두 사람이 접근·접촉한 뒤 떨어짐; 50% 가림 경계는 bbox 후보와 육안 근사, 보수적 구간 제외; 제외 후보 [[96, 126]]; 누락 GT6 129–147; GT7 25–88; GT7 127–157; GT7 187–224; ID 변경 GT6 ID1→3 148–152"
07.mp4,두 객체 겹침,25–224,1,3,"O05; GT 3,4; 두 사람이 몸싸움 동작 중 겹친 뒤 떨어짐; 50% 가림 경계는 bbox 후보와 육안 근사, 보수적 구간 제외; 제외 후보 [[50, 153]]; 누락 GT3 154–172; GT4 25–49; GT4 180–224; ID 변경 GT3 ID1→5 173–177"
08.mp4,두 객체 겹침,25–224,0,3,"O06; GT 7,9; 두 사람이 접촉하며 몸이 크게 겹침; 50% 가림 경계는 bbox 후보와 육안 근사, 보수적 구간 제외; 제외 후보 [[55, 140]]; 누락 GT7 141–224; GT9 25–54; GT9 141–224; ID 변경 없음"
09.mp4,두 객체 겹침,25–206,0,4,"O07; GT 1,2; 두 사람이 접촉한 뒤 이동하는 동안 겹침; 50% 가림 경계는 bbox 후보와 육안 근사, 보수적 구간 제외; 제외 후보 [[138, 191]]; 누락 GT1 31–137; GT1 192–201; GT2 79–113; GT2 121–137; ID 변경 없음"
10.mp4,두 객체 겹침,25–149,2,3,"O08; GT 1,2; 검은 옷 보행자가 뒤쪽 보행자를 가리며 지나감; 50% 가림 경계는 bbox 후보와 육안 근사, 보수적 구간 제외; 제외 후보 [[61, 79]]; 누락 GT1 47–60; GT1 80–141; GT2 25–34; ID 변경 GT1 ID2→12 142–146; GT2 ID3→7 89–93"
11.mp4,두 객체 겹침,25–149,6,1,"O09; GT 2,3; 매장으로 들어가는 사람과 나오는 사람이 교차; 50% 가림 경계는 bbox 후보와 육안 근사, 보수적 구간 제외; 제외 후보 [[59, 68]]; 누락 GT2 79–95; ID 변경 GT2 ID1→4 73–77; GT3 ID4→3 73–77; GT3 ID3→8 101–105; GT3 ID8→9 114–118; GT3 ID9→10 138–142; GT3 ID10→11 145–149"
03.mpg,두 객체 겹침,590–690,0,5,"O10; GT 1,2; 추가 식별: 여성 머리·상체와 앞 남성 다리의 약한 투영 겹침. 별도 영상의 사건이며 기존 9회와 중복 없음; 제외 후보 []; 누락 GT1 605–630; GT1 633–677; GT1 679–690; GT2 590–640; GT2 647–690; ID 변경 없음"
02.mpg,객체 일시 정지,95–120,해당 없음,1,S01; GT 0; 팔을 들어 신호하는 짧은 위치 정지; 제외 후보 []; 누락 GT0 104–120; ID 변경 없음
03.mpg,객체 일시 정지,355–390,해당 없음,1,S02; GT 1; 왼쪽 매장을 바라보며 정지; 제외 후보 []; 누락 GT1 355–390; ID 변경 없음
19.mp4,객체 일시 정지,159–273,해당 없음,1,S03; GT 1; 문 앞 정지; 공식 static GT는 199–266; 제외 후보 []; 누락 GT1 178–270; ID 변경 없음
18.mp4,객체 일시 정지,123–133,해당 없음,0,S04; GT 1; 스위치 조작을 위한 짧은 위치 정지; 손 동작·조명 혼합; 제외 후보 []; 누락 없음; ID 변경 없음
17.mp4,객체 일시 정지,177–256,해당 없음,0,S05; GT 1; 블라인드 조작 중 위치 정지; 팔 동작·조명 혼합; 제외 후보 []; 누락 없음; ID 변경 없음
18.mp4,조명 변화,119–174,해당 없음,1,L01; GT 1; 스위치 변화 f128; 제외 후보 []; 누락 GT1 128–137; ID 변경 없음
17.mp4,조명 변화,204–249,해당 없음,0,L02; GT 1; 블라인드 연속 변화; 최대 밝기차 f215; 제외 후보 []; 누락 없음; ID 변경 없음
14.mp4,조명 변화,800–826,해당 없음,0,L03; GT 1; 첫 소등 f812; 사람이 보이는 구간; 수동 bbox 근사; 제외 후보 []; 누락 없음; ID 변경 없음
14.mp4,조명 변화,1851–1910,해당 없음,2,L04; GT 1; 점등 f1853; 진입 후 착석; 수동 bbox 근사; 제외 후보 []; 누락 GT1 1851–1862; GT1 1878–1910; ID 변경 없음
14.mp4,조명 변화,2160–2192,해당 없음,0,L05; GT 1; 두 번째 소등 f2188; 자리에서 일어나 퇴장; 수동 bbox 근사; 제외 후보 []; 누락 없음; ID 변경 없음
